time,high
0,1.1593
1,1.15932
2,1.1598
3,1.16107
4,1.1611
5,1.16134
6,1.1604
7,1.16007
8,1.15952
9,1.15965
10,1.16
11,1.16092
12,1.16091
13,1.1616
14,1.16182
15,1.16217
16,1.16338
17,1.164
18,1.16336
19,1.16395
20,1.1629
21,1.16235
22,1.16222
23,1.1628
24,1.1625
25,1.16231
26,1.16211
27,1.16221
28,1.1621
29,1.16201
30,1.16137
31,1.1608
32,1.1606
33,1.16
34,1.1599
35,1.1602
36,1.1605
37,1.16048
38,1.16033
39,1.16032
40,1.16053
41,1.16053
42,1.16012
43,1.15956
44,1.16132
45,1.16126
46,1.16071
47,1.16085
48,1.15983
49,1.15993
50,1.1604
51,1.1601
52,1.1599
53,1.1598
54,1.1597
55,1.1595
56,1.15946
57,1.1594
58,1.15901
59,1.15841
60,1.15797
61,1.1561
62,1.15541
63,1.15421
64,1.15441
65,1.15474
66,1.15523
67,1.15558
68,1.15448
69,1.155
70,1.1557
71,1.15554
72,1.15593
73,1.15597
74,1.1559
75,1.1558
76,1.1556
77,1.15611
78,1.15592
79,1.15573
80,1.15562
81,1.1558
82,1.15571
83,1.15698
84,1.15708
85,1.15695
86,1.15621
87,1.1563
88,1.15724
89,1.1565
90,1.15635
91,1.1569
92,1.15687
93,1.15604
94,1.1565
95,1.15601
96,1.1555
97,1.1556
98,1.1557
99,1.1558
100,1.156
101,1.156
102,1.1559
103,1.15571
104,1.1556
105,1.15541
106,1.1553
107,1.1549
108,1.15513
109,1.15564
110,1.15692
111,1.15681
112,1.15631
113,1.15855
114,1.15788
115,1.15768
116,1.15796
117,1.15722
118,1.15683
119,1.15782
120,1.15777
121,1.15753
122,1.15705
123,1.1569
124,1.15813
125,1.15737
126,1.15699
127,1.15753
128,1.15698
129,1.1578
130,1.15793
131,1.1576
132,1.15726
133,1.1573
134,1.15754
135,1.15867
136,1.15841
137,1.1576
138,1.15716
139,1.15674
140,1.15731
141,1.1574
142,1.15801
143,1.15838
144,1.1575
145,1.1573
146,1.15644
147,1.1561
148,1.15601
149,1.1555
150,1.15561
151,1.1555
152,1.1555
153,1.1554
154,1.1553
155,1.15575
156,1.1561
157,1.1561
158,1.1564
159,1.15704
160,1.15686
161,1.1565
162,1.15672
163,1.1562
164,1.15584
165,1.15587
166,1.1549
167,1.155
168,1.15503
169,1.15421
170,1.15296
171,1.15334
172,1.1535
173,1.1533
174,1.1533
175,1.1533
176,1.1533
177,1.15426
178,1.15522
179,1.1556
180,1.1554
181,1.15535
182,1.15533
183,1.1553
184,1.15514
185,1.15467
186,1.15704
187,1.15746
188,1.15787
189,1.15785
190,1.15932
191,1.15933
192,1.15973
193,1.1597
194,1.15983
195,1.16
196,1.1599
197,1.16011
198,1.1601
199,1.1596
200,1.1596
201,1.15952
202,1.15934
203,1.16023
204,1.1612
205,1.16189
206,1.16243
207,1.16127
208,1.1616
209,1.16088
210,1.16071
211,1.1599
212,1.15922
213,1.1595
214,1.1593
215,1.15993
216,1.16021
217,1.15992
218,1.16
219,1.15992
220,1.16
221,1.15948
222,1.1602
223,1.16092
224,1.1612
225,1.16102
226,1.1609
227,1.1615
228,1.16153
229,1.1619
230,1.16077
231,1.16124
232,1.16109
233,1.16045
234,1.16047
235,1.16103
236,1.1609
237,1.1597
238,1.16
239,1.1606
240,1.1606
241,1.1606
242,1.16005
243,1.15919
244,1.15924
245,1.16008
246,1.16047
247,1.16011
248,1.1598
249,1.15922
250,1.1594
251,1.1592
252,1.1583
253,1.1582
254,1.15802
255,1.1593
256,1.1596
257,1.15853
258,1.1594
259,1.15978
260,1.161
261,1.16131
262,1.16096
263,1.16088
264,1.1622
265,1.1623
266,1.16162
267,1.16131
268,1.1613
269,1.1613
270,1.1614
271,1.1614
272,1.1625
273,1.16366
274,1.16426
275,1.16465
276,1.1656
277,1.16553
278,1.1658
279,1.16562
280,1.16606
281,1.16691
282,1.1668
283,1.16619
284,1.16572
285,1.16583
286,1.16576
287,1.1645
288,1.16364
289,1.16423
290,1.1645
291,1.164
292,1.1636
293,1.1636
294,1.1637
295,1.1636
296,1.16351
297,1.16476
298,1.1643
299,1.1646
300,1.16511
301,1.1652
302,1.16462
303,1.16402
304,1.163
305,1.1628
306,1.16348
307,1.1636
308,1.1643
309,1.16478
310,1.16518
311,1.1649
312,1.1658
313,1.16583
314,1.1658
315,1.1657
316,1.16524
317,1.1654
318,1.1654
319,1.1657
320,1.16582
321,1.16632
322,1.16663
323,1.16673
324,1.16651
325,1.16533
326,1.1657
327,1.16472
328,1.1644
329,1.1645
330,1.16427
331,1.16454
332,1.16512
333,1.16484
334,1.16517
335,1.1647
336,1.16434
337,1.164
338,1.1628
339,1.16256
340,1.1625
341,1.16264
342,1.1626
343,1.16262
344,1.16284
345,1.1632
346,1.16297
347,1.16294
348,1.16291
349,1.16295
350,1.16383
351,1.16466
352,1.16465
353,1.16427
354,1.16434
355,1.1644
356,1.1639
357,1.16474
358,1.16512
359,1.16557
360,1.1635
361,1.1634
362,1.16393
363,1.1644
364,1.16455
365,1.1645
366,1.1643
367,1.1641
368,1.16372
369,1.164
370,1.1641
371,1.16452
372,1.16446
373,1.16483
374,1.16467
375,1.16496
376,1.1665
377,1.1665
378,1.166
379,1.16616
380,1.16642
381,1.16601
382,1.165
383,1.16272
384,1.16269
385,1.16093
386,1.16137
387,1.16144
388,1.16153
389,1.1611
390,1.1613
391,1.1617
392,1.16133
393,1.16127
394,1.1613
395,1.16123
396,1.16093
397,1.16102
398,1.161
399,1.16074
400,1.16016
401,1.16043
402,1.16054
403,1.16065
404,1.16063
405,1.16135
406,1.16181
407,1.16246
408,1.1626
409,1.16211
410,1.16226
411,1.16127
412,1.15973
413,1.1593
414,1.1596
415,1.16
416,1.16002
417,1.1601
418,1.15989
419,1.1596
420,1.16
421,1.16045
422,1.16043
423,1.1601
424,1.1604
425,1.1605
426,1.16042
427,1.1608
428,1.16131
429,1.16064
430,1.15971
431,1.1596
432,1.1608
433,1.16261
434,1.16213
435,1.16241
436,1.16015
437,1.16094
438,1.16162
439,1.16161
440,1.16092
441,1.16041
442,1.1605
443,1.1608
444,1.16024
445,1.16015
446,1.16048
447,1.161
448,1.16092
449,1.16074
450,1.1608
451,1.16062
452,1.1614
453,1.16144
454,1.15938
455,1.16072
456,1.16178
457,1.16356
458,1.16599
459,1.16868
460,1.16924
461,1.16883
462,1.16885
463,1.16891
464,1.16843
465,1.1685
466,1.1685
467,1.1684
468,1.1687
469,1.169
470,1.1686
471,1.16774
472,1.1678
473,1.16773
474,1.16741
475,1.1671
476,1.16757
477,1.16714
478,1.16553
479,1.16567
480,1.16543
481,1.16481
482,1.16359
483,1.16194
484,1.15775
485,1.1552
486,1.15565
487,1.15627
488,1.15603
489,1.15651
490,1.15593
491,1.15597
492,1.1563
493,1.15634
494,1.15626
495,1.15604
496,1.15603
497,1.15586
498,1.1558
499,1.1552
500,1.1564
501,1.15635
502,1.15643
503,1.15754
504,1.15741
505,1.1573
506,1.1577
507,1.158
508,1.15805
509,1.1584
510,1.15939
511,1.15922
512,1.1595
513,1.16085
514,1.1607
515,1.1609
516,1.16065
517,1.1607
518,1.1603
519,1.16015
520,1.15987
521,1.16002
522,1.1602
523,1.16085
524,1.16073
525,1.16074
526,1.16136
527,1.16108
528,1.15993
529,1.16063
530,1.16062
531,1.16078
532,1.16076
533,1.15986
534,1.15995
535,1.15844
536,1.15847
537,1.15858
538,1.15841
539,1.15831
540,1.15817
541,1.1583
542,1.158
543,1.158
544,1.15831
545,1.15876
546,1.1585
547,1.1584
548,1.15857
549,1.1586
550,1.1588
551,1.15892
552,1.15978
553,1.1593
554,1.1593
555,1.15897
556,1.15838
557,1.15803
558,1.15861
559,1.15857
560,1.15869
561,1.16164
562,1.16159
563,1.16151
564,1.1616
565,1.1616
566,1.16165
567,1.16161
568,1.16126
569,1.1607
570,1.16052
571,1.1596
572,1.1592
573,1.1589
574,1.1582
575,1.15717
576,1.15549
577,1.1553
578,1.15545
579,1.15628
580,1.15731
581,1.15565
582,1.15464
583,1.15523
584,1.1552
585,1.1557
586,1.15576
587,1.1558
588,1.1557
589,1.1555
590,1.15553
591,1.1556
592,1.15529
593,1.15506
594,1.1548
595,1.15574
596,1.15574
597,1.15571
598,1.1563
599,1.15613
600,1.15494
601,1.15425
602,1.1538
603,1.15401
604,1.15365
605,1.15306
606,1.15563
607,1.15665
608,1.15682
609,1.1558
610,1.15689
611,1.15733
612,1.1568
613,1.15557
614,1.1558
615,1.15635
616,1.15696
617,1.1568
618,1.15623
619,1.15592
620,1.15624
621,1.15633
622,1.1563
623,1.1569
624,1.1567
625,1.1574
626,1.1576
627,1.157
628,1.1574
629,1.15802
630,1.15832
631,1.15792
632,1.15948
633,1.15951
634,1.15921
635,1.15892
636,1.159
637,1.1591
638,1.15914
639,1.15892
640,1.1588
641,1.15908
642,1.15862
643,1.1588
644,1.1589
645,1.15993
646,1.16066
647,1.16063
648,1.16034
649,1.15967
650,1.15965
651,1.16087
652,1.16023
653,1.15877
654,1.1594
655,1.15941
656,1.1595
657,1.15985
658,1.15965
659,1.15948
660,1.1595
661,1.15951
662,1.15951
663,1.15922
664,1.15877
665,1.1585
666,1.15852
667,1.1583
668,1.15801
669,1.1574
670,1.15823
671,1.15812
672,1.1572
673,1.1559
674,1.15642
675,1.15743
676,1.15635
677,1.15347
678,1.15195
679,1.15156
680,1.14988
681,1.1486
682,1.1481
683,1.14845
684,1.1487
685,1.1488
686,1.1484
687,1.1485
688,1.14786
689,1.14804
690,1.14804
691,1.14849
692,1.14821
693,1.14768
694,1.1472
695,1.14746
696,1.14727
697,1.1475
698,1.14661
699,1.14739
700,1.14772
701,1.1471
702,1.14664
703,1.1453
704,1.14513
705,1.1449
706,1.145
707,1.1453
708,1.145
709,1.14483
710,1.14428
711,1.1443
712,1.1441
713,1.14417
714,1.14443
715,1.1446
716,1.14562
717,1.14556
718,1.14543
719,1.1449
720,1.1453
721,1.14552
722,1.14537
723,1.14494
724,1.14621
725,1.14519
726,1.14507
727,1.1452
728,1.14494
729,1.1447
730,1.1447
731,1.14459
732,1.14458
733,1.145
734,1.14468
735,1.14444
736,1.1447
737,1.146
738,1.14641
739,1.14615
740,1.14592
741,1.14634
742,1.1463
743,1.14613
744,1.14544
745,1.14539
746,1.14566
747,1.14552
748,1.14545
749,1.14479
750,1.14462
751,1.14451
752,1.14242
753,1.14211
754,1.13876
755,1.13901
756,1.13868
757,1.1372
758,1.13704
759,1.1373
760,1.13783
761,1.13796
762,1.1386
763,1.13844
764,1.1384
765,1.13846
766,1.13823
767,1.13799
768,1.13798
769,1.1375
770,1.13633
771,1.13724
772,1.13721
773,1.13749
774,1.13626
775,1.13532
776,1.13557
777,1.13356
778,1.13343
779,1.13313
780,1.1323
781,1.132
782,1.1324
783,1.1322
784,1.13233
785,1.1327
786,1.1324
787,1.13221
788,1.13014
789,1.13027
790,1.1308
791,1.13172
792,1.13209
793,1.13187
794,1.13167
795,1.13246
796,1.13322
797,1.13219
798,1.13211
799,1.13187
800,1.13224
801,1.13263
802,1.13264
803,1.13194
804,1.13231
805,1.13231
806,1.1323
807,1.13202
808,1.13264
809,1.13286
810,1.1338
811,1.13353
812,1.13305
813,1.1326
814,1.13211
815,1.13385
816,1.13399
817,1.13353
818,1.13386
819,1.1348
820,1.13485
821,1.13473
822,1.13473
823,1.13589
824,1.1359
825,1.13741
826,1.13741
827,1.1372
828,1.1373
829,1.1374
830,1.1373
831,1.1374
832,1.13692
833,1.13653
834,1.1357
835,1.13571
836,1.1357
837,1.13582
838,1.1361
839,1.13585
840,1.13453
841,1.13236
842,1.13052
843,1.1303
844,1.12973
845,1.12941
846,1.13215
847,1.13214
848,1.13221
849,1.13195
850,1.13028
851,1.12921
852,1.1292
853,1.129
854,1.1252
855,1.12779
856,1.12783
857,1.12741
858,1.12787
859,1.12879
860,1.12906
861,1.12882
862,1.12825
863,1.12805
864,1.12803
865,1.12588
866,1.12656
867,1.1262
868,1.12502
869,1.1241
870,1.1239
871,1.12371
872,1.124
873,1.1242
874,1.1244
875,1.1244
876,1.12382
877,1.12414
878,1.1238
879,1.12403
880,1.12407
881,1.12642
882,1.12691
883,1.12749
884,1.1269
885,1.12614
886,1.12506
887,1.12594
888,1.12547
889,1.12652
890,1.12714
891,1.1267
892,1.1255
893,1.1252
894,1.1254
895,1.12514
896,1.1253
897,1.125
898,1.12472
899,1.1246
900,1.12419
901,1.12401
902,1.12431
903,1.12452
904,1.12472
905,1.12474
906,1.12552
907,1.12357
908,1.12195
909,1.12201
910,1.12196
911,1.12145
912,1.1216
913,1.12132
914,1.11991
915,1.11964
916,1.1198
917,1.12037
918,1.12054
919,1.12055
920,1.1205
921,1.1205
922,1.1212
923,1.12123
924,1.1214
925,1.12181
926,1.1216
927,1.1216
928,1.12163
929,1.12202
930,1.12263
931,1.12261
932,1.12293
933,1.12246
934,1.123
935,1.12267
936,1.12221
937,1.12172
938,1.12153
939,1.12124
940,1.12126
941,1.121
942,1.121
943,1.1211
944,1.12113
945,1.12125
946,1.12249
947,1.12249
948,1.1225
949,1.12274
950,1.1224
951,1.12278
952,1.12332
953,1.12444
954,1.1279
955,1.12749
956,1.12851
957,1.12954
958,1.12954
959,1.1297
960,1.12956
961,1.13211
962,1.13212
963,1.1306
964,1.13117
965,1.1323
966,1.13233
967,1.13303
968,1.132
969,1.13062
970,1.13029
971,1.13108
972,1.12999
973,1.12967
974,1.129
975,1.1284
976,1.1285
977,1.12811
978,1.12834
979,1.1285
980,1.12724
981,1.12764
982,1.12905
983,1.1294
984,1.1295
985,1.12939
986,1.12842
987,1.12751
988,1.12756
989,1.12716
990,1.12701
991,1.12754
992,1.12755
993,1.1282
994,1.1293
995,1.12922
996,1.13002
997,1.12938
998,1.12962
999,1.1305
1000,1.13045
1001,1.13
1002,1.1313
1003,1.13273
1004,1.13324
1005,1.13512
1006,1.13668
1007,1.13726
1008,1.1364
1009,1.13572
1010,1.13707
1011,1.13825
1012,1.13828
1013,1.12898
1014,1.13183
1015,1.13199
1016,1.1325
1017,1.1342
1018,1.13453
1019,1.1342
1020,1.1343
1021,1.13364
1022,1.13331
1023,1.13237
1024,1.13314
1025,1.1332
1026,1.13371
1027,1.13373
1028,1.13436
1029,1.13596
1030,1.13322
1031,1.13396
1032,1.13344
1033,1.13254
1034,1.13407
1035,1.13558
1036,1.13577
1037,1.13352
1038,1.13284
1039,1.13282
1040,1.133
1041,1.1319
1042,1.1321
1043,1.13234
1044,1.1321
1045,1.13202
1046,1.13283
1047,1.13394
1048,1.13353
1049,1.13337
1050,1.1323
1051,1.13264
1052,1.13229
1053,1.13276
1054,1.1326
1055,1.13344
1056,1.13441
1057,1.13479
1058,1.13474
1059,1.13473
1060,1.13392
1061,1.13204
1062,1.131
1063,1.13042
1064,1.13083
1065,1.1305
1066,1.13013
1067,1.1303
1068,1.1307
1069,1.1308
1070,1.13024
1071,1.13
1072,1.13011
1073,1.13
1074,1.13025
1075,1.13001
1076,1.12936
1077,1.12997
1078,1.12977
1079,1.13145
1080,1.13162
1081,1.13131
1082,1.13336
1083,1.13103
1084,1.12926
1085,1.13099
1086,1.13143
1087,1.1327
1088,1.13264
1089,1.1315
1090,1.1312
1091,1.1313
1092,1.1313
1093,1.12974
1094,1.13078
1095,1.12909
1096,1.12883
1097,1.12839
1098,1.1283
1099,1.1284
1100,1.12854
1101,1.1286
1102,1.1288
1103,1.1287
1104,1.12844
1105,1.12823
1106,1.1293
1107,1.12923
1108,1.1293
1109,1.1291
1110,1.12965
1111,1.12984
1112,1.12948
1113,1.12784
1114,1.12779
1115,1.12669
1116,1.12598
1117,1.12595
1118,1.12481
1119,1.12549
1120,1.12506
1121,1.1252
1122,1.1255
1123,1.12613
1124,1.1268
1125,1.1274
1126,1.1273
1127,1.1275
1128,1.1278
1129,1.12815
1130,1.1293
1131,1.1295
1132,1.1292
1133,1.1296
1134,1.12953
1135,1.1294
1136,1.1294
1137,1.12877
1138,1.13003
1139,1.12942
1140,1.13023
1141,1.13175
1142,1.13165
1143,1.13344
1144,1.1339
1145,1.13497
1146,1.13494
1147,1.1351
1148,1.1355
1149,1.135
1150,1.1347
1151,1.13457
1152,1.13445
1153,1.13397
1154,1.13364
1155,1.1335
1156,1.1337
1157,1.1336
1158,1.1334
1159,1.1331
1160,1.13268
1161,1.13238
1162,1.13238
1163,1.13226
1164,1.1317
1165,1.1321
1166,1.13193
1167,1.13047
1168,1.12931
1169,1.12943
1170,1.1294
1171,1.12944
1172,1.1296
1173,1.12945
1174,1.1295
1175,1.1298
1176,1.1297
1177,1.12972
1178,1.13016
1179,1.1302
1180,1.12992
1181,1.13031
1182,1.13012
1183,1.12983
1184,1.12973
1185,1.12883
1186,1.1283
1187,1.12744
1188,1.12793
1189,1.1309
1190,1.13016
1191,1.1307
1192,1.1324
1193,1.13216
1194,1.1323
1195,1.1317
1196,1.13183
1197,1.132
1198,1.13182
1199,1.1316
1200,1.128
1201,1.1288
1202,1.1292
1203,1.12976
1204,1.12919
1205,1.1298
1206,1.13073
1207,1.13
1208,1.1295
1209,1.12912
1210,1.1288
1211,1.1286
1212,1.1285
1213,1.1285
1214,1.12834
1215,1.1284
1216,1.1284
1217,1.1278
1218,1.1282
1219,1.1284
1220,1.12776
1221,1.1284
1222,1.13045
1223,1.1317
1224,1.1324
1225,1.13202
1226,1.1317
1227,1.13088
1228,1.13024
1229,1.12762
1230,1.12767
1231,1.1272
1232,1.1266
1233,1.126
1234,1.1259
1235,1.1262
1236,1.1259
1237,1.1269
1238,1.12702
1239,1.1269
1240,1.1263
1241,1.12651
1242,1.12728
1243,1.12768
1244,1.12768
1245,1.12755
1246,1.12773
1247,1.1277
1248,1.12701
1249,1.1276
1250,1.12743
1251,1.12743
1252,1.12628
1253,1.1268
1254,1.1266
1255,1.1262
1256,1.12751
1257,1.1299
1258,1.1296
1259,1.1296
1260,1.1299
1261,1.12922
1262,1.12892
1263,1.12907
1264,1.129
1265,1.12896
1266,1.1288
1267,1.1293
1268,1.1312
1269,1.13187
1270,1.13191
1271,1.13147
1272,1.13001
1273,1.13437
1274,1.13591
1275,1.13604
1276,1.13364
1277,1.1313
1278,1.13196
1279,1.1322
1280,1.13264
1281,1.13365
1282,1.1334
1283,1.13358
1284,1.1335
1285,1.13352
1286,1.13318
1287,1.13254
1288,1.13275
1289,1.13361
1290,1.13491
1291,1.13486
1292,1.13358
1293,1.13376
1294,1.13396
1295,1.13345
1296,1.13254
1297,1.13326
1298,1.13328
1299,1.13156
1300,1.13075
1301,1.12793
1302,1.1277
1303,1.12713
1304,1.1259
1305,1.1253
1306,1.1244
1307,1.12363
1308,1.1239
1309,1.12392
1310,1.124
1311,1.12396
1312,1.12441
1313,1.125
1314,1.125
1315,1.125
1316,1.12506
1317,1.1251
1318,1.1255
1319,1.12561
1320,1.12615
1321,1.12705
1322,1.12742
1323,1.1272
1324,1.1277
1325,1.12765
1326,1.12981
1327,1.13012
1328,1.13037
1329,1.13035
1330,1.1299
1331,1.1287
1332,1.1286
1333,1.12775
1334,1.12802
1335,1.1285
1336,1.12792
1337,1.1279
1338,1.12846
1339,1.12866
1340,1.12863
1341,1.12822
1342,1.1283
1343,1.12809
1344,1.12951
1345,1.13022
